Код раздела,Наименование раздела на русском языке,Наименование раздела на латинском языке,Синоним названия раздела на латинском языке,Код,Наименование на русском языке,Наименование на латинском языке,Обозначение фармакопеи,Дата начала действия,Вид акта,Номер акта,Дата акта,Дата окончания действия,Вид акта,Номер акта,Дата акта
109,Сушеница топяная,-,,109170,Сушеницы топяной трава,Gnaphalii uliginosi herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
110,Термопсис ланцетный,-,,110170,Термопсиса ланцетного трава,Thermopsidis lanceolatae herbafructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
111,Тимьян обыкновенный,-,,111170,Тимьяна обыкновенного трава,Thymi vulgaris herbafructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
112,Тимьян,-,,112170,Тимьяна трава,Thymiherbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
113,Тмин обыкновенный,-,,113110,Тмина обыкновенного  плоды,Cari carvi fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
114,Толокнянка обыкновенная,-,,114090,Толокнянки обыкновенной листья,Arctostaphyli  uvae ursi foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
115,Тыква обыкновенная,-,,115140,Тыквы семена ,Cucurbitae seminafructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
116,Тысячелистник обыкновенный,-,,116170,Тысячелистника обыкновенного трава ,Achilleaea millefolii herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
117,Укроп пахучий,-,,117110,Укропа пахучего плоды,Anethi graveolentis fructusfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
118,Фасол обыкновенная,-,,118190,Фасоли обыкновенной плодов  створки,Phaseoli vulgaris fructus valvae fructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
119,Фенхель горький,-,,119110,Фенхеля горького плоды,Foenicul iamari fructusfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
120,Фенхель обыкновенный,-,,120110,Фенхеля обыкновенного плоды,Foeniculi vulgaris fructusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
121,Фенхель сладкий,-,,121110,Фенхеля сладкого плоды,Foeniculi dulcis fructusfructus,"02,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
122,Фиалка,-,,122170,Фиалки трава,Violae herbafructus,"02,03,04,05",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
123,Фукус,-,,123190,Фукус,Fucus vel Ascophyllumfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
124,Хвощ полевой,-,,124170,Хвоща полевого трава,Equiseti arvensis herbafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
125,Хмель обыкновенный,-,,125110,Хмеля обыкновенного соплодия,Humuli lupuli fructusfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
